name	type	kingdom	P156N_rna	P160N_rna	P180N_rna	P193N_rna	P198N_rna	P207N_rna	P229N_rna	P268N_rna	P270N_rna	P303N_rna	P326N_rna	P368N_rna	P394N_rna
Asterionellopsis	genus	Eukaryota	0.1034520477123154	0.0006439782346545	0.007718989796499	0.0035610329185707	0.0006384493716071	0.0	0.0565420764853592	0.0	0.0140726601500884	0.0012149856599604	0.0	0.0	0.0058100602976767
Asticcacaulis	genus	Bacteria	0.0	0.0	0.006220431337838	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Atopobium	genus	Bacteria	0.0623030206139361	0.083717170505087	0.241560083619379	0.0	0.0606526903026826	0.0870355194640584	0.0180062605293277	0.0478457799762113	0.0223756095515318	0.4100576602366389	0.0005568794575385	0.0	0.0677840368062292
Aureimonas	genus	Bacteria	0.7250555229648288	0.0519952796869201	0.0179641767084117	0.1320549707303307	0.2745332297910898	0.0439907788595512	0.236114351779733	0.0017087778562932	0.0755176822364199	0.009112392449703	0.0400953209427741	0.0	0.0037657798225682
Azoarcus	genus	Bacteria	0.0171609627274614	0.0413526023538863	0.013460322256044	0.0110575724554824	0.0	0.0	0.0157254675289462	0.0295238840726224	0.0019179093901312	0.0	0.0053460427923698	0.0	0.0
Azorhizobium	genus	Bacteria	0.0	0.0	0.0	0.0089512302871176	0.0	0.0	0.0024008347372436	0.0056959261876442	0.0025172560745473	0.004049952199868	0.0	0.0	0.0
Azospira	genus	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0056762295302646	0.0009003130264663	0.0	0.0	0.0	0.0	0.0	0.0
Azospirillum	genus	Bacteria	0.0109946506965769	0.0064397823465451	0.0124408626756761	0.0652856035071298	0.0	0.0	0.0828287984349075	0.0	0.2315875588583543	0.006074928299802	0.0	0.0	0.1092076148544805
Azotobacter	genus	Bacteria	0.0023503365259992	0.0005789299281237	0.0012440862675676	0.0001119821672506	0.0	0.0014190573825661	0.0003273865550786	0.0	0.0	0.0	0.0	0.0	0.0
Azovibrio	genus	Bacteria	0.0083768767212015	0.0	0.0005183692781531	0.0185117187433636	0.0	0.0	0.0	0.0	0.0031965156502188	0.0	0.0	0.0	0.0
Bacillus	genus	Bacteria	0.0298939522207582	0.0201148495647969	0.0929877054407851	0.0382966203579405	0.0494626955630638	0.0178170538033308	0.3282924879706028	0.0175488773495514	0.0458084398892903	0.009973007292175	0.0	0.0	0.2990696365600387
Bacteroides	genus	Bacteria	0.0	0.0579580411189064	0.003110215668919	0.0059350548642845	0.0095767405741077	0.0368954919467204	0.0036012521058655	0.0	0.0033563414327297	0.0	0.0	0.0	0.0037657798225682
Bariatricus	genus	Bacteria	0.0	0.0	0.0	0.0011128227870533	0.0065561030651394	0.0	0.0	0.0	0.0	0.0009930171259291	0.0	0.0	0.0
Bartonella	genus	Bacteria	0.0003821670028221	0.0001788828429595	0.0	0.0	0.0	0.0032435597315798	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bdellovibrio	genus	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006074928299802	0.0	0.0	0.0
Beijerinckia	genus	Bacteria	0.0019953254967861	0.0064397823465451	0.0085530930895273	0.0	0.0	0.0	0.0018006260529327	0.0	0.0	0.0	0.0	0.0	0.0194206645135307
Belnapia	genus	Bacteria	0.0	0.0032198911732725	0.0	0.0	0.0	0.0	0.0180062605293277	0.0	0.0	0.0	0.0089100713206164	0.0	0.0
Bergeriella	genus	Bacteria	0.0119719529807171	0.0075667442571905	0.0092528916150341	0.0274496287473159	0.0318282612952631	0.0042098702349463	0.0046816277376252	0.0083730114958369	0.0038597926476392	0.0693795382810727	0.0042322838772928	0.0	0.000941444955642
Bergeyella	genus	Bacteria	0.0073297671310513	0.0053664852887876	0.006220431337838	0.0003123713086465	0.0005320411430059	0.0088272008060563	0.0004001391228739	0.0011191995316072	0.0	0.0	0.0	0.0	0.0007531559645136
Beutenbergia	genus	Bacteria	0.0	0.0	0.0	0.0	0.0004965717334722	0.000473019127522	0.0	0.0	0.0	0.0032399617598944	0.0	0.0	0.0
Bibersteinia	genus	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0003153460850147	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bifidobacterium	genus	Bacteria	0.024174135826448	0.0064397823465451	0.0244670299288298	0.0	0.1238310789491764	0.0056762295302646	0.0	0.0	0.0	0.0081262027906443	0.0639117615813411	2.9840980859621946	0.4525426556092566
Blastochloris	genus	Bacteria	0.0073297671310513	0.0001055702024023	3.4557951876878224e-05	0.0029675274321422	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Blastococcus	genus	Bacteria	0.0	0.0	0.003110215668919	0.0059350548642845	0.0063844937160718	0.0198668033559263	0.0	0.0034175557125865	0.0150475974234051	0.009112392449703	0.0178201426412329	0.0	0.0
Blastomonas	genus	Bacteria	0.0302091116758329	0.0024149183799544	0.0099060369055071	0.0896640643721419	0.0	0.0066898419463833	0.0087030259225084	0.0196286569405513	0.0	0.003037464149901	0.0	0.0	0.0
Blastopirellula	genus	Bacteria	0.0	0.0	0.003110215668919	0.0	0.0	0.0	0.0	0.0034175557125865	0.0	0.0	0.0	0.0	0.0
Blautia	genus	Bacteria	0.0134379064069274	0.0	0.0	0.0	0.0006384493716071	0.0068114754363176	0.0057620033693848	0.0	0.0	0.0	0.0466407964129192	0.0	0.0175736391719853
Bordetella	genus	Bacteria	0.0216283658904885	0.2456045386203472	0.0526472546414709	0.0379654273384387	0.0097287523292523	0.0088096071507217	0.0606653882260632	0.0119436231750521	0.1092741057551988	0.0101298114479653	0.0	0.0	0.0
Bosea	genus	Bacteria	0.0581331196001466	0.0842691518490766	0.0088122777286039	0.0039567032428563	0.0027362115926022	0.0047731930140862	0.0465734780261281	0.0509595529587901	0.0057803658008123	0.0436382349535781	0.0	0.2249684675235431	0.1529743447923297
Botrytis	genus	Fungi	0.0	0.0	0.0	0.0	0.0	0.0	0.0036012521058655	0.0	0.0	0.0	0.0	0.0	0.0
Brachybacterium	genus	Bacteria	0.0	0.0160994558663628	0.0	0.0	0.0	0.0	0.118841319493563	0.0	0.0	0.0	0.0	0.0	0.0
Brachymonas	genus	Bacteria	0.0236210471711379	0.0065807136864232	0.0021833102204319	0.0157135332628227	0.0080801777579144	0.0027535052998148	0.0227250269949393	0.0027012406657343	0.0401875791457468	0.003938184038508	0.0	0.0	0.0204189745618316
Brevibacillus	genus	Bacteria	0.0	0.0	0.0044431652413129	0.0	0.004560352654337	0.0	0.0260804964016056	0.012449667238708	0.0	0.0	0.0	0.0	0.0
Brevibacterium	genus	Bacteria	0.0	0.0064397823465451	0.0	0.0	0.0319224685803592	0.0	0.0900313026466386	0.0	0.0	0.0	0.0	0.0	0.0
