name	type	kingdom	P156T_rna	P160T_rna	P180T_rna	P193T_rna	P198T_rna	P223T_rna	P229T_rna	P268T_rna	P270T_rna	P303T_rna	P368T_rna
Herbiconiux	genus	Bacteria	0.0	0.0010736889361269	0.000745350886512	0.001053234900048	0.0	0.0	0.0001895236198877	0.0	0.0044560652231886	0.0	0.0
Herminiimonas	genus	Bacteria	0.0	0.0	0.0	0.0	0.0054159635516798	0.00225244851518	0.0	0.0	0.0079165454520811	0.0003652838097361	0.0
Hoeflea	genus	Bacteria	0.0	0.0130077429893433	0.0	0.0042313545863027	0.0	0.0	0.0008795080485414	0.0	0.0	0.0	0.0
Holdemanella	genus	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0336516864606889
Humibacillus	genus	Bacteria	0.0	0.0053348765766851	0.0063369428872044	0.0012593317221139	0.0	0.0063525348683364	0.0014576596059011	0.0037383850510399	0.0007599883633997	0.0	0.0
Humibacter	genus	Bacteria	0.0009595180525432	0.0634938737658793	0.0166408044561859	0.0281726189939779	0.0	0.0648461354259084	0.0440754815405953	0.2315178031654982	0.108431706166466	0.0031049123827572	0.0231665638205512
Hyalangium	genus	Bacteria	0.0	0.0006503871494671	0.0002686729939752	0.0	0.0	0.0	0.0015635698640736	0.0	0.0	0.0	0.0
Hydrogenophaga	genus	Bacteria	0.035011863638335	0.0315944457831591	0.0206267008750855	0.0074817766661381	0.021203794341365	0.0429966416722724	0.0117786277308969	0.000412730409032	0.0113268449911945	0.0006392466670382	0.0765351554496633
Hylemonella	genus	Bacteria	0.0	0.0003251935747335	0.001667352992023	0.0	0.0007967892089757	0.0011467010622734	0.0	0.0010567165625983	0.0	0.0	0.0
Hymenobacter	genus	Bacteria	0.0	0.0585348434520452	0.0193444555662199	0.0222146115780895	0.0	0.0	0.0062542794562947	0.0650050394225411	0.2735958108239249	0.0038354800022295	0.0067303372921377
Hyphomicrobium	genus	Bacteria	0.0063967870169549	0.0201099143509491	0.0006448151855406	0.0063470318794541	0.0199197302243942	0.0322509673764415	0.0057330895016035	0.0216683464741803	0.0	0.0	0.0
Hyphomonas	genus	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0125085589125895	0.00309547806774	0.0607990690719833	0.0	0.0
Hypomyces	genus	Fungi	0.0	0.0040649196841698	0.0	0.0	0.0082761736289447	0.0	0.0	0.0	0.0	0.0	0.0
Ideonella	genus	Bacteria	0.0156651870436316	0.0042323429819054	0.0015506269938001	0.0004882332214964	0.0094286723062132	0.0021890166089425	0.0024764383933122	0.0049434104416958	0.0055994972290689	0.0	0.0038945840095773
Ignavibacterium	genus	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00309547806774	0.0	0.0	0.0
Ilumatobacter	genus	Bacteria	0.0	0.0	0.0032240759277033	0.0	0.0	0.0	0.0	0.00309547806774	0.0	0.0	0.0
Ilyobacter	genus	Bacteria	0.0	0.019511614484015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ilyonectria	genus	Fungi	0.0	0.0007742704160323	0.0006448151855406	0.0	0.0	0.0	0.0006254279456294	0.004952764908384	0.0	0.0	0.0
Immundisolibacter	genus	Bacteria	0.0	0.0081298393683396	0.0	0.0	0.0	0.0	0.0015635698640736	0.0	0.0	0.0	0.0
Intestinibacter	genus	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03028651781462
Intestinimonas	genus	Bacteria	0.0	0.0076652771187202	0.0	0.0	0.0	0.0	0.0008934684937563	0.0	0.0	0.0	0.0100955059382066
Intrasporangium	genus	Bacteria	0.0	0.0148972696249068	0.017724938061144	0.0026697832508815	0.0	0.0184385750480402	0.0096907886227883	0.0084742019239071	0.0088665309063309	0.0	0.0
Isoptericola	genus	Bacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0037999418169989	0.0	0.0
Janibacter	genus	Bacteria	0.0	0.0445685212007831	0.0461955343797291	0.0347499995400115	0.006639910074798	0.0478166119516009	0.0261323209910268	0.0219535159738275	0.0048132596348653	0.0	0.0
Jannaschia	genus	Bacteria	1.5554262940968768	0.3717729957498565	0.3960483695191101	0.4145610697073205	0.316378322348209	0.0913029831749269	0.3034095049774593	0.2243439970300925	0.6033934536837418	0.0570165027388821	0.5537620973392345
Janthinobacterium	genus	Bacteria	0.0989902790873781	0.0554921592479139	0.0621708055504041	0.0023272450224665	0.0045018590307131	0.0200302528274734	0.1972586567582454	0.1470215544758703	0.2005338098583229	0.0040911786690448	0.0324551820531977
Jatrophihabitans	genus	Bacteria	0.0	0.0065038714946716	0.0001343364969876	0.0	0.0	0.0	0.0093814191844421	0.0	0.0001519976726799	0.0	0.0
Jeotgalibaca	genus	Bacteria	0.0	0.0	0.0	0.0006456937193384	0.0015011970603891	0.0	0.0	0.000773869516935	0.0018512537057174	0.0015735302573249	0.0067303372921377
Jeotgalicoccus	genus	Bacteria	0.0	0.0	0.0064481518554066	0.0	0.0	0.0	0.0	0.0154773903387002	0.0303995345359916	0.0	0.0
Jiangella	genus	Bacteria	0.0	0.0018493151090618	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Johnsonella	genus	Bacteria	0.0	0.0	0.0	0.003173515939727	0.0	0.0	0.0	0.0	0.0037999418169989	0.007670960004459	0.0100955059382066
Kaistia	genus	Bacteria	0.0	0.0010839785824452	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Kerstersia	genus	Bacteria	0.0	0.000366289466046	0.0024267859298149	0.0003340543094449	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ketogulonicigenium	genus	Bacteria	0.0	0.0002322811248097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Kibdelosporangium	genus	Bacteria	0.0	0.0	0.0019190928141091	0.0007933789849317	0.0	0.0002541948167601	0.0002084759818764	0.0	0.0	0.0015341920008918	0.0005852467210554
Kineococcus	genus	Bacteria	0.0	0.0	0.0	0.0	0.0114206453286527	0.0	0.0	0.0	0.0075998836339979	0.0	0.0
Kingella	genus	Bacteria	0.0	0.0099229959797235	0.0050810305365892	0.2361246213402615	0.1251533070538873	0.0878407024693932	0.1351168510781784	0.0066393919170829	0.0617881427251136	0.4708686928596307	0.0148431055866807
Kitasatospora	genus	Bacteria	0.0	0.0005704551153414	0.0008792934348281	0.0011750360334726	0.0003983946044878	0.0006143041405036	0.0	0.0	0.0007599883633997	0.0	0.0
Klebsiella	genus	Bacteria	0.0	0.0003001786843694	0.0108626008886429	0.0039670019349179	0.0	0.0078464681938783	0.0007817849320368	0.0199386705502373	0.0101327040882378	0.0044020903106821	0.0230816732041131
Kluyvera	genus	Bacteria	0.0	0.0	7.497850994658881e-05	8.939481520357959e-05	0.0	3.921090258533915e-05	0.0	0.0003135813545755	0.0010555393936108	0.0	0.0001489595316552
