type	name	kingdom	P156T_rna	P160T_rna	P180T_rna	P193T_rna	P198T_rna	P207T_rna	P223T_rna	P229T_rna	P268T_rna	P270T_rna	P303T_rna	P326T_rna	P368T_rna	P394T_rna
species	Mycobacterium_sp._H101	Bacteria	0.0	0.0003667941203683	0.0002209605057113	0.0002636141589995	0.0	0.0	0.0	0.0006730954944515	0.0005814099404859	0.0004385718777935	0.0	0.0	0.0002553218651262	0.0028051905170111
species	Mycobacterium_sp._H110	Bacteria	0.0	0.0003667941203683	4.082965866405355e-05	0.0	0.0	0.0	0.0	0.000492859782187	3.950440928464236e-05	0.0001237977903277	0.0	0.0	0.0	0.0028051905170111
species	Mycobacterium_sp._H4Y	Bacteria	0.0	5.241962201484165e-05	0.0	0.0	0.0	0.0	8.96397879299928e-05	5.1843952551777125e-05	0.0002151878835277	8.38104190354967e-05	0.0	0.0	3.488003621942934e-05	2.5739429459806403e-05
species	Mycobacterium_sp._HXVII	Bacteria	0.0	0.0003667941203683	4.082965866405355e-05	0.0	0.0	0.0	0.0	0.000492859782187	3.950440928464236e-05	0.0001237977903277	0.0	0.0	0.0	0.0028051905170111
species	Mycobacterium_sp._HXXIII	Bacteria	0.0	0.0003667941203683	4.082965866405355e-05	0.0	0.0	0.0	0.0	0.000492859782187	3.950440928464236e-05	4.096250415257353e-05	0.0	0.0	0.0	0.0028051905170111
species	Mycobacterium_sp._IS-1264	Bacteria	0.0	0.0001767575772389	0.0	0.0001602825801587	0.0	0.0	8.96397879299928e-05	5.1843952551777125e-05	0.000393204504477	8.38104190354967e-05	0.0	4.703465325112918e-05	0.0002575500447464	2.5739429459806403e-05
species	Mycobacterium_sp._IS-1556	Bacteria	0.0	0.0012297661407155	4.082965866405355e-05	0.0004311388863835	0.0002602228548528	0.0	0.0008516166276127	0.0005701910197786	0.0023981555048298	0.00136046019611	0.0	4.703465325112918e-05	0.0011972814529246	0.0005218729838875
species	Mycobacterium_sp._IS-1590	Bacteria	0.0	0.0005996872215027	0.0	0.0	0.0	0.0	0.0002575208978208	5.1843952551777125e-05	0.000501711778396	0.0002940173130267	0.0002346074079635	0.0	3.488003621942934e-05	2.5739429459806403e-05
species	Mycobacterium_sp._IS-1744	Bacteria	0.0	0.0005996872215027	0.0	0.0	0.0	0.0	0.0002575208978208	5.1843952551777125e-05	0.0003848445675956	0.0002940173130267	0.0002346074079635	0.0	3.488003621942934e-05	2.5739429459806403e-05
species	Mycobacterium_sp._IS-2888	Bacteria	0.0	0.0001767575772389	0.0	0.0001602825801587	0.0	0.0	8.96397879299928e-05	5.1843952551777125e-05	0.000393204504477	8.38104190354967e-05	0.0	4.703465325112918e-05	0.0002575500447464	2.5739429459806403e-05
species	Mycobacterium_sp._IS-3022	Bacteria	0.0	0.0010497888268559	4.082965866405355e-05	0.0004311388863835	0.0002602228548528	0.0	0.0008516166276127	0.0005701910197786	0.0025791111860691	0.0016009497366187	0.0	4.703465325112918e-05	0.0011972814529246	0.0005218729838875
species	Mycobacterium_sp._IS-836	Bacteria	0.0	0.0001767575772389	0.0	0.0001602825801587	0.0	0.0	8.96397879299928e-05	5.1843952551777125e-05	0.000393204504477	8.38104190354967e-05	0.0	4.703465325112918e-05	0.0002575500447464	2.5739429459806403e-05
species	Mycobacterium_sp._JS623	Bacteria	0.0	0.0012297661407155	4.082965866405355e-05	0.0006802126433498	0.0002602228548528	0.0	0.0009412564155427	0.0005701910197786	0.0025791111860691	0.0019302199991651	0.0	4.703465325112918e-05	0.0011972814529246	0.0005218729838875
species	Mycobacterium_sp._M26	Bacteria	0.0	0.0007046739879208	0.0	0.0	0.0	0.0	0.0002575208978208	5.1843952551777125e-05	0.0003453401583109	0.0002940173130267	0.0002346074079635	0.0	3.488003621942934e-05	2.5739429459806403e-05
