type	name	kingdom	P1492N_rna	P1492T_rna
species	Afipia_sp._NBIMC_P1-C1	Bacteria	0.0513833719659216	0.1834413444263486
species	Afipia_sp._NBIMC_P1-C2	Bacteria	0.0508224953531676	0.1828479509031281
species	Afipia_sp._NBIMC_P1-C3	Bacteria	0.0513833719659216	0.1834413444263486
species	Afipia_sp._OHSU_I-C4	Bacteria	0.0513833719659216	0.1834413444263486
species	Afipia_sp._OHSU_I-C6	Bacteria	0.0513833719659216	0.1834413444263486
species	Afipia_sp._OHSU_I-uncloned	Bacteria	0.0508224953531676	0.1828479509031281
species	Afipia_sp._OHSU_II-C1	Bacteria	0.0513833719659216	0.1834413444263486
species	Afipia_sp._OHSU_II-C2	Bacteria	0.0508224953531676	0.1828479509031281
species	Afipia_sp._OHSU_II-uncloned	Bacteria	0.0513833719659216	0.1834413444263486
species	Afipia_sp._P52-10	Bacteria	0.0120588471742101	0.003460327346967
species	Agreia_bicolorata	Bacteria	0.0005575864462885	0.0086678242496783
species	Agreia_sp._Leaf210	Bacteria	0.0005575864462885	0.0086678242496783
species	Agreia_sp._Leaf244	Bacteria	0.0005575864462885	0.0086678242496783
species	Agreia_sp._Leaf283	Bacteria	0.0005575864462885	0.0086678242496783
species	Agreia_sp._Leaf335	Bacteria	0.0005575864462885	0.0086678242496783
species	Agrobacterium_albertimagni	Bacteria	0.0028775086026422	0.0
species	Agrobacterium_arsenijevicii	Bacteria	0.0024752720488556	0.0
species	Agrobacterium_fabrum	Bacteria	0.0028466537151257	0.0232343551112032
species	Agrobacterium_larrymoorei	Bacteria	0.0029072814032816	0.0197610885059943
species	Agrobacterium_rhizogenes	Bacteria	0.00020613413973	6.528919522579295e-05
species	Agrobacterium_rubi	Bacteria	0.0029072814032816	0.0193408688431692
species	Agrobacterium_sp._13-2099-1-2	Bacteria	0.0024752720488556	0.0
species	Agrobacterium_sp._13-626	Bacteria	0.00020613413973	6.528919522579295e-05
species	Agrobacterium_sp._224MFTsu3.1	Bacteria	0.0024752720488556	0.0
species	Agrobacterium_sp._33MFTa1.1	Bacteria	0.0028466537151257	0.0232343551112032
species	Agrobacterium_sp._ATCC_31749	Bacteria	0.0028466537151257	0.0232343551112032
species	Agrobacterium_sp._B131/95	Bacteria	0.00020613413973	6.528919522579295e-05
species	Agrobacterium_sp._B133/95	Bacteria	0.00020613413973	6.528919522579295e-05
species	Agrobacterium_sp._C13	Bacteria	0.0024752720488556	0.0
species	Agrobacterium_sp._D14	Bacteria	0.0024752720488556	0.0
species	Agrobacterium_sp._DSM_25558	Bacteria	0.0029072814032816	0.0194601904758233
species	Agrobacterium_sp._DSM_25559	Bacteria	0.0029072814032816	0.0194601904758233
species	Agrobacterium_sp._H13-3	Bacteria	0.0024752720488556	0.0
species	Agrobacterium_sp._JL28	Bacteria	0.0024752720488556	0.0
species	Agrobacterium_sp._LC34	Bacteria	0.0024752720488556	0.0
species	Agrobacterium_sp._LY4	Bacteria	0.0024752720488556	0.0
species	Agrobacterium_sp._R89-1	Bacteria	0.0029072814032816	0.0197610885059943
species	Agrobacterium_sp._RAC06	Bacteria	0.0028775086026422	0.0
species	Agrobacterium_sp._SUL3	Bacteria	0.0024752720488556	0.0
species	Agrobacterium_sp._TS45	Bacteria	0.0024752720488556	0.0
species	Agrobacterium_sp._UNC420CL41Cvi	Bacteria	0.0024752720488556	0.0
species	Agrobacterium_sp._YIC_4121	Bacteria	0.0024752720488556	0.0
species	Agrobacterium_sp._YIC_5082	Bacteria	0.0028466537151257	0.0232343551112032
species	Agrobacterium_tumefaciens	Bacteria	0.00020613413973	6.528919522579295e-05
species	Agrobacterium_vitis	Bacteria	0.0020889416719159	0.0142482636383089
species	Agromyces_sp._Root81	Bacteria	0.0	0.0005767212244945
species	Agromyces_subbeticus	Bacteria	0.0	0.0004943324781381
species	Alicycliphilus_denitrificans	Bacteria	0.5502938549341208	0.0099723607457439
species	Alicycliphilus_sp._B1	Bacteria	0.5543134706588575	0.0099723607457439
species	Alishewanella_aestuarii	Bacteria	0.0160784628989468	0.0
species	Alishewanella_agri	Bacteria	0.0160784628989468	0.0
species	Alishewanella_jeotgali	Bacteria	0.0160784628989468	0.0
species	Alishewanella_sp._HH-ZS	Bacteria	0.0160784628989468	0.0
species	Alkalilimnicola_ehrlichii	Bacteria	0.0200980786236835	0.0
species	Alloactinosynnema_sp._L-07	Bacteria	0.0	0.0011810129777461
species	Allokutzneria_albata	Bacteria	0.0	0.000119321632654
species	Alloprevotella_tannerae	Bacteria	0.0160784628989468	0.0
species	Altererythrobacter_dongtanensis	Bacteria	0.0	0.0001081352295927
species	Altererythrobacter_troitsensis	Bacteria	0.0	0.0001081352295927
species	Alteromonadaceae_bacterium	Bacteria	0.034166733660262	0.0
species	Amycolatopsis_australiensis	Bacteria	0.0	0.0002883606122472
species	Amycolatopsis_nigrescens	Bacteria	0.0	0.0002840991253667
species	Anaerobacillus_alkalidiazotrophicus	Bacteria	0.0	0.0016796323609301
species	Anaerobacillus_alkalilacustris	Bacteria	0.0	0.0016796323609301
species	Anaerobacillus_arseniciselenatis	Bacteria	0.0	0.0040046658289097
species	Anaerococcus_hydrogenalis	Bacteria	0.0120588471742101	0.0
species	Anaerococcus_lactolyticus	Bacteria	0.0412010611785512	0.0
species	Anaerococcus_mediterraneensis	Bacteria	0.3319532652678398	0.0
species	Anaerococcus_prevotii	Bacteria	0.350041536029155	0.0
