type	name	kingdom	P156N_rna	P160N_rna	P180N_rna	P193N_rna	P198N_rna	P207N_rna	P223N_rna	P229N_rna	P268N_rna	P270N_rna	P303N_rna	P326N_rna	P368N_rna	P394N_rna
genus	Oxalobacter	Bacteria	0.0031762324234555	0.0013009661306151	0.0013823180750751	0.0005935054864284	0.0	0.0006306921700294	0.0028446617092271	0.001520528666921	0.0015189136500384	0.0	0.0003037464149901	0.0005568794575385	0.0	0.0060820332848622
genus	Paenarthrobacter	Bacteria	0.0013326849329184	0.0005854347587768	0.0005654937579852	0.0	0.0	0.0	0.0005019991251577	0.0	0.0	0.0	0.0	0.0	0.0	0.0093332526721345
genus	Paenibacillus	Bacteria	0.0537516256277096	0.0132583754193576	0.422367287839206	0.0059350548642845	0.0055332278872622	0.017028688590794	0.0	0.007202504211731	0.0290492235569854	0.0	0.0417651320611391	0.0	0.0	0.0
genus	Paeniglutamicibacter	Bacteria	9.39713734750167e-05	0.0002626950840665	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000657117026861	0.0	0.0	0.0	0.0
genus	Paenirhodobacter	Bacteria	0.0	0.0033254613756749	0.000245543342283	0.0018714239077413	0.0	0.0	0.0	0.0	0.0034175557125865	0.0005474246721831	0.0	0.0	0.0	0.0
genus	Paenisporosarcina	Bacteria	0.0109946506965769	0.0	0.0	0.0	0.0	0.0009460382550441	0.0	0.0	0.013670222850346	0.0	0.0	0.0	0.0	0.0
genus	Paludibacter	Bacteria	0.0073297671310513	0.0128795646930903	0.0	0.1602464813356822	0.0255379748642874	0.0	0.0	0.0288100168469243	0.0	0.013425365730919	0.009112392449703	0.0	0.0	0.0
genus	Pandoraea	Bacteria	0.001878832713972	0.0007885447771279	0.0007242740232125	0.0005219917877435	0.0001182313651124	0.0	0.0026876511603412	0.0001895395845192	0.0	0.0053441746027096	0.006074928299802	0.0	0.0	0.011207678043358
genus	Pannonibacter	Bacteria	0.0018602060521986	0.0	0.0004492533743994	0.002863983818781	0.0	0.0	0.0	0.0	0.0	0.0004195426790912	0.0006074928299802	0.0	0.0	0.0
genus	Pantoea	Bacteria	0.001989992936822	8.944142147979358e-05	0.005782092276357	0.0009753258914778	0.0642755560873819	0.0073312000849978	0.0002102908521606	0.0029246543638678	0.0041934332257142	0.1183124839506928	0.0390896616029341	0.0001237509905641	0.0	0.0001017778330423
